School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,Lowest Grade,Highest Grade,School Type,District Code,District Name,District Size,District Setting
1388,CENTENNIAL ELEMENTARY SCHOOL,13200 WESTLAKE DRIVE,BROOMFIELD,CO,80020,7209725280,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1480,CENTURY MIDDLE SCHOOL,13000 LAFAYETTE STREET,THORNTON,CO,80241,7209725240,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1519,STARGATE CHARTER SCHOOL,3951 COTTONWOODLAKES BOULEVARD,THORNTON,CO,80241,3034503936,1/2 Day Kindergarten,8th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1878,CORONADO HILLS ELEMENTARY SCHOOL,8300 DOWNING DRIVE,THORNTON,CO,80229,7209725320,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1914,COTTON CREEK ELEMENTARY SCHOOL,11100 VRAIN STREET,WESTMINSTER,CO,80030,7209725340,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
1937,COYOTE RIDGE ELEMENTARY SCHOOL,13770 BROADLANDS DRIVE,BROOMFIELD,CO,80020,7209725780,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2361,EAGLEVIEW ELEMENTARY SCHOOL,4601 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,7209725760,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2410,TARVER ELEMENTARY SCHOOL,3500 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,7209725640,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2576,CHERRY DRIVE ELEMENTARY SCHOOL,11500 CHERRY DRIVE,THORNTON,CO,80233,7209725300,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2578,SKYVIEW ELEMENTARY SCHOOL,5021 EAST 123RD AVENUE,THORNTON,CO,80241,7209725620,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2580,HUNTERS GLEN ELEMENTARY SCHOOL,13222 CORONA STREET,THORNTON,CO,80241,7209725440,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,3350 WEST 99TH AVENUE,WESTMINSTER,CO,80030,7209725600,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2584,RIVERDALE ELEMENTARY SCHOOL,10724 ELM DRIVE,THORNTON,CO,80233,7209725580,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,2500 W 96TH AVENUE,DENVER,CO,80221,7209725360,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
3439,GLOBAL VILLAGE ACADEMY,555 WEST 112TH AVENUE,NORTHGLENN,CO,80234,3034467100,1/2 Day Kindergarten,7th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
4000,HILLCREST ELEMENTARY SCHOOL,10335 CROKE DRIVE,NORTHGLENN,CO,80221,7209725380,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
4108,HORIZON HIGH SCHOOL,5321 EAST 136TH AVENUE,BRIGHTON,CO,80601,7209724400,9th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
4172,HULSTROM OPTIONS K-8 SCHOOL,11551 WYCO DRIVE,NORTHGLENN,CO,80233,7209725400,1/2 Day Kindergarten,8th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
4187,SILVER HILLS MIDDLE SCHOOL,12400 HURON STREET,NORTHGLENN,CO,80234,7209725000,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5043,LEGACY HIGH SCHOOL,2701 WEST 136TH STREET,BROOMFIELD,CO,80020,7209726700,9th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5058,LEROY DRIVE ELEMENTARY SCHOOL,1451 EAST LEROY DRIVE,NORTHGLENN,CO,80233,7209725460,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5418,MALLEY DRIVE ELEMENTARY SCHOOL,1300 EAST MALLEY DRIVE,NORTHGLENN,CO,80233,7209725480,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5706,MC ELWAIN ELEMENTARY SCHOOL,1020 DAWSON DRIVE,THORNTON,CO,80229,7209725500,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5814,THE INTERNATIONAL SCHOOL AT THORNTON MIDDLE,9451 HOFFMAN WAY,THORNTON,CO,80229,7209725160,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
5816,THORNTON HIGH SCHOOL,9351 WASHINGTON STREET,THORNTON,CO,80229,7209724800,9th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6060,MOUNTAIN RANGE HIGH SCHOOL,12500 HURON STREET,WESTMINSTER,CO,80234,7209726300,9th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,12401 PERRY STREET,BROOMFIELD,CO,80020,7209725520,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6342,SHADOW RIDGE MIDDLE SCHOOL,12551 HOLLY STREET,THORNTON,CO,80602,7209725040,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6355,NORTH MOR ELEMENTARY SCHOOL,9580 DAMON DRIVE,NORTHGLENN,CO,80221,7209725540,Preschool,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6376,NORTH STAR ELEMENTARY SCHOOL,8740 NORTH STAR DRIVE,DENVER,CO,80221,7209725560,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6398,NORTHGLENN MIDDLE SCHOOL,1123 MURIEL DRIVE,NORTHGLENN,CO,80233,7209725080,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6402,NORTHGLENN HIGH SCHOOL,601 WEST 100TH PLACE,NORTHGLENN,CO,80221,7209724600,9th Grade,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6802,PROSPECT RIDGE ACADEMY,2555 PREBLE CREEK PKWY,BROOMFIELD,CO,80023,7203990300,1/2 Day Kindergarten,9th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
6956,PATHWAYS FUTURE CENTER,550 E. 124TH AVENUE,THORNTON,CO,80241,7209724723,1/2 Day Kindergarten,12th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
7155,PRAIRIE HILLS ELEMENTARY SCHOOL,13801 GARFIELD PLACE,THORNTON,CO,80602,7209728780,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
7795,SILVER CREEK ELEMENTARY,15101 FILLMORE STRE,THORNTON,CO,80602,7209723941,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8211,THE STUDIO SCHOOL,10604 GRANT DRIVE,NORTHGLENN,CO,80233,7209723620,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8225,STELLAR ELEMENTARY SCHOOL,3901 EAST 124TH AVENUE,THORNTON,CO,80241,7209722340,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8275,STEM LAB,11700 IRMA DRIVE,NORTHGLENN,CO,80233,7209724000,1/2 Day Kindergarten,8th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8310,STEM LAUNCH,9450 PECOS STREET,THORNTON,CO,80206,7209725120,1/2 Day Kindergarten,8th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8361,STUKEY ELEMENTARY SCHOOL,11080 GRANT DRIVE,NORTHGLENN,CO,80233,7209725420,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
8842,THORNTON ELEMENTARY SCHOOL,900 EPPINGER BOULEVARD,THORNTON,CO,80229,7209725660,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
9431,WESTGATE CHARTER,11700 IRMA DRIVE,NORTHGLENN,CO,80233,3034250967,1/2 Day Kindergarten,11th Grade,High,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
9444,WESTLAKE MIDDLE SCHOOL,2800 WEST 135TH AVENUE,BROOMFIELD,CO,80020,7209725200,6th Grade,8th Grade,Middle ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
9494,WESTVIEW ELEMENTARY SCHOOL,1300 ROSEANNA DRIVE,NORTHGLENN,CO,80234,7209725680,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
9682,WOODGLEN ELEMENTARY SCHOOL,11717 MADISON STREET,THORNTON,CO,80233,7209725700,1/2 Day Kindergarten,5th Grade,Elementary  ,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
0020,ADAMS CITY MIDDLE SCHOOL,4451 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,3032895881,6th Grade,8th Grade,Middle ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0022,LESTER R ARNOLD HIGH SCHOOL,6500 EAST 72ND AVENUE,COMMERCE CITY,CO,80022,3032892983,9th Grade,12th Grade,High,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0024,ADAMS CITY HIGH SCHOOL,7200 QUEBEC PARKWAY,COMMERCE CITY,CO,80022,3032893111,9th Grade,12th Grade,High,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0124,STARS EARLY LEARNING CENTER,5650 BOWEN COURT,COMMERCE CITY,CO,80022,3038535000,Preschool,Preschool,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0186,ALSUP ELEMENTARY SCHOOL,7101 BIRCH STREET,COMMERCE CITY,CO,80022,3032886865,1/2 Day Kindergarten,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
1426,CENTRAL ELEMENTARY SCHOOL,6450 HOLLY STREET,COMMERCE CITY,CO,80022,3032870327,Preschool,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
2308,DUPONT ELEMENTARY SCHOOL,7970 KIMBERLY STREET,COMMERCE CITY,CO,80022,3032870189,1/2 Day Kindergarten,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
4516,KEARNEY MIDDLE SCHOOL,6160 KEARNEY STREET,COMMERCE CITY,CO,80022,3032870261,6th Grade,8th Grade,Middle ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
4536,KEMP ELEMENTARY SCHOOL,6775 ONEIDA STREET,COMMERCE CITY,CO,80022,3032886633,Preschool,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
5880,MILDRED L SANVILLE PRESCHOOL,5941 EAST 64TH AVENUE,COMMERCE CITY,CO,80022,3032869472,Preschool,Preschool,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
5982,MONACO ELEMENTARY SCHOOL,7631 MONACO BOULEVARD,COMMERCE CITY,CO,80022,3032870307,1/2 Day Kindergarten,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
6534,HANSON ELEMENTARY SCHOOL,7133 EAST 73RD AVENUE,COMMERCE CITY,CO,80022,3038535800,Preschool,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
7500,ROSE HILL ELEMENTARY SCHOOL,6900 EAST 58TH AVENUE,COMMERCE CITY,CO,80022,3032870163,Preschool,5th Grade,Elementary  ,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
0700,BELLE CREEK CHARTER SCHOOL,9290 EAST 107TH AVENUE,HENDERSON,CO,80640,3034680160,1/2 Day Kindergarten,8th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
1013,BRANTNER ELEMENTARY SCHOOL,7800 E. 133RD AVENUE,THORNTON,CO,80602,7206855050,1/2 Day Kindergarten,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
1021,BRIGHTON HERITAGE ACADEMY,830 BRIDGE STREET,BRIGHTON,CO,80601,3036552850,6th Grade,12th Grade,High,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
1022,BRIGHTON HIGH SCHOOL,270 SOUTH 8TH AVENUE,BRIGHTON,CO,80601,3036554200,9th Grade,12th Grade,High,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
1052,BROMLEY EAST CHARTER SCHOOL,356 LONGSPUR DRIVE,BRIGHTON,CO,80601,7206853297,Preschool,8th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
1560,BOLT ACADEMY,1850 EGBERT STREET,BRIGHTON,CO,80601,3036552900,9th Grade,12th Grade,High,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
2399,EAGLE RIDGE ACADEMY,3551 SOUTHERN STREET,BRIGHTON,CO,80601,3033454380,9th Grade,12th Grade,High,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
2945,FOUNDATIONS ACADEMY,340 SOUTH 45TH AVENUE,BRIGHTON,CO,80601,3036599519,1/2 Day Kindergarten,8th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
3900,HENDERSON ELEMENTARY SCHOOL,12301 EAST 124TH AVENUE,HENDERSON,CO,80640,3036552700,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
4950,LANDMARK ACADEMY AT REUNION,10566 MEMPHIS STREET,COMMERCE CITY,CO,80022,3032872901,1/2 Day Kindergarten,8th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
5615,MARY E PENNOCK ELEMENTARY SCHOOL,3707 ESTRELLA STREET,BRIGHTON,CO,80601,7206857500,1/2 Day Kindergarten,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
6294,NORTH ELEMENTARY SCHOOL,89 NORTH 6TH AVENUE,BRIGHTON,CO,80601,3036552500,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
6395,NORTHEAST ELEMENTARY SCHOOL,1605 LONGSPEAK,BRIGHTON,CO,80601,3036552550,Preschool,6th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
6638,OVERLAND TRAIL MIDDLE SCHOOL,455 NORTH 19TH AVENUE,BRIGHTON,CO,80601,3036554000,6th Grade,8th Grade,Middle ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
6702,OTHO E STUART MIDDLE SCHOOL,15955 EAST 101ST WAY,COMMERCE CITY,CO,80022,7206855500,6th Grade,8th Grade,Middle ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
7129,PRAIRIE VIEW HIGH SCHOOL,12909 E 120TH AVE,HENDERSON,CO,80640,3036552900,9th Grade,12th Grade,High,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
7131,PRAIRIE VIEW MIDDLE SCHOOL,12915 EAST 120TH AVENUE,HENDERSON,CO,80640,7206855400,6th Grade,8th Grade,Middle ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
7714,SECOND CREEK ELEMENTARY SCHOOL,9950 LAREDO DRIVE,COMMERCE CITY,CO,80022,7206857550,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,1850 EGBERT SUITE G20,BRIGHTON,CO,80601,7206855490,Preschool,Preschool,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
8032,JOHN W THIMMIG ELEMENTARY SCHOOL,11453 OSWEGO STREET,HENDERSON,CO,80640,3036552750,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
8060,SOUTH ELEMENTARY SCHOOL,305 SOUTH 5TH AVENUE,BRIGHTON,CO,80601,3036552600,1/2 Day Kindergarten,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
8130,SOUTHEAST ELEMENTARY SCHOOL,1595 SOUTHERN STREET,BRIGHTON,CO,80601,3038662680,1/2 Day Kindergarten,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
8820,TURNBERRY ELEMENTARY,13069 EAST 106TH PLACE,COMMERCE CITY,CO,80022,7206855350,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
9230,VIKAN MIDDLE SCHOOL,879 JESSUP STREET,BRIGHTON,CO,80601,3036554050,6th Grade,8th Grade,Middle ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
9426,WEST RIDGE ELEMENTARY,13102 MONACO STREET,THORNTON,CO,80602,7206855300,Preschool,5th Grade,Elementary  ,0040,SCHOOL DISTRICT 27J,"1,201 - 6,000",Denver Metro
0763,BENNETT PRESCHOOL,805 WASHINGTON WAY,BENNETT,CO,80102,3036443234,Preschool,Preschool,Elementary  ,0050,BENNETT 29J,601 - 1.200,Outlying Town
0770,BENNETT ELEMENTARY SCHOOL,462 8TH STREET,BENNETT,CO,80102,3036443234,1/2 Day Kindergarten,5th Grade,Elementary  ,0050,BENNETT 29J,601 - 1.200,Outlying Town
0774,BENNETT MIDDLE SCHOOL,455 8TH STREET,BENNETT,CO,80102,3036443234,6th Grade,8th Grade,Middle ,0050,BENNETT 29J,601 - 1.200,Outlying Town
0775,BENNETT HIGH SCHOOL,610 7TH STREET,BENNETT,CO,80102,3036443234,9th Grade,12th Grade,High,0050,BENNETT 29J,601 - 1.200,Outlying Town
7133,PRAIRIE CREEKS CHARTER SCHOOL,1983 MONROE STREET,STRASBURG,CO,80136,3036226328,9th Grade,12th Grade,High,0060,STRASBURG 31J,301 - 600,Rural
8328,STRASBURG ELEMENTARY SCHOOL,56729 EAST COLORADO AVENUE,STRASBURG,CO,80136,3036229211,Preschool,5th Grade,Elementary  ,0060,STRASBURG 31J,301 - 600,Rural
8332,HEMPHILL MIDDLE SCHOOL,2100 WAGNER,STRASBURG,CO,80136,3036229211,6th Grade,8th Grade,Middle ,0060,STRASBURG 31J,301 - 600,Rural
8334,STRASBURG HIGH SCHOOL,56729 EAST COLORADO AVENUE,STRASBURG,CO,80136,3036229211,9th Grade,12th Grade,High,0060,STRASBURG 31J,301 - 600,Rural
1622,CLARA E. METZ ELEMENTARY SCHOOL,2341 SHERRELWOOD DRIVE,DENVER,CO,80221,3034281884,1/2 Day Kindergarten,5th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
2035,CROWN POINTE CHARTER ACADEMY,2900 WEST 86TH AVENUE,WESTMINSTER,CO,80031,3034281882,1/2 Day Kindergarten,8th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
2876,FAIRVIEW ELEMENTARY SCHOOL,7826 FAIRVIEW DRIVE,DENVER,CO,80221,3034281405,Preschool,5th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
3144,FRANCIS M. DAY ELEMENTARY SCHOOL,1740 JORDAN DRIVE,DENVER,CO,80221,3034281330,Preschool,5th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
3649,GREGORY HILL PRESCHOOL,8030 IRVING STREET,WESTMINSTER,CO,80030,3034281560,Preschool,Preschool,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
3792,HARRIS PARK ELEMENTARY SCHOOL,4300 WEST 75TH AVENUE,WESTMINSTER,CO,80030,3034281721,Preschool,5th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
3931,HIDDEN LAKE HIGH SCHOOL,7300 LOWELL BOULEVARD,WESTMINSTER,CO,80030,3034282600,9th Grade,12th Grade,High,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
4334,COLORADO STEM ACADEMY,7281 IRVING STREET,WESTMINSTER,CO,80030,7205425016,3rd Grade,8th Grade,Elementary  ,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
