School Code,School Name,Address,City,State,Zipcode,Phone,District Code,District Name,,County,Grades
P635,PEACE W/CHRIST CHRISTIAN SCHL ,3290 SOUTH TOWER ROAD         ,AURORA              ,CO,80013 ,3037667116,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-08 
P453,REGIS JESUIT HIGH SCHOOL      ,6300 S. LEWISTON WAY          ,AURORA              ,CO,80016 ,3032698100,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,09-12 
P129,ST MARY'S ACADEMY             ,4545 SOUTH UNIVERSITY BLVD    ,ENGLEWOOD           ,CO,80113 ,3037628300,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-12 
P019,ST THOMAS MORE CATHOLIC SCHOOL,7071 EAST OTERO AVENUE        ,CENTENNIAL          ,CO,80112 ,3037700441,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK-08 
P132,THE THREE BEARS LEARNING CTR  ,1461 SOUTH DAYTON STREET      ,DENVER              ,CO,80247 ,3033696464,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P079,VILLAGE CHILD DEVELOPMENT CTR ,9400 EAST BELLEVIEW AVENUE    ,GREENWOOD VILLAGE   ,C0,80111 ,3032909005,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P135,WILLOWS CHILD LEARNING CENTER ,6865 SOUTH QUEBEC STREET      ,CENTENNIAL          ,CO,80112 ,3037714202,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P085,WILLOWS-OLDE MILL             ,6894 SOUTH HOMESTEAD PARKWAY  ,CENTENNIAL          ,CO,80112 ,3037217771,0130,CHERRY CREEK        5         ,03,ARAPAHOE        ,PK- K 
P740,AMBLESIDE SCHOOL              ,1510 EAST PHILIPS AVENUE      ,CENTENNIAL          ,CO,80122 ,7204680464,0140,LITTLETON           6         ,03,ARAPAHOE        ,K-8   
P414,MACKINTOSH ACADEMY: LITTLETON ,7018 SOUTH PRINCE STREET      ,LITTLETON           ,CO,80120 ,3037946222,0140,LITTLETON           6         ,03,ARAPAHOE        ,PK-08 
P782,ROCK SOLID HIGH SCHOOL        ,6570B SOUTH BROADWAY          ,LITTLETON           ,CO,80121 ,3037971005,0140,LITTLETON           6         ,03,ARAPAHOE        ,09-12 
P138,SHEPHERD OF HILLS CHRISTIAN   ,7691 SOUTH UNIVERSITY BLVD    ,CENTENNIAL          ,CO,80122 ,3037980711,0140,LITTLETON           6         ,03,ARAPAHOE        ,PK-08 
P144,ST MARY CATHOLIC SCHOOL       ,6833 SOUTH PRINCE STREET      ,LITTLETON           ,CO,80120 ,3037982375,0140,LITTLETON           6         ,03,ARAPAHOE        ,PK -08
P662,BECK RECREATION CENTER        ,800 TELLURIDE STREET          ,AURORA              ,CO,80011 ,3037396878,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-PK 
P467,BETHEL CHRISTIAN SCHOOL       ,1450 AIRPORT BLVD             ,AURORA              ,CO,80011 ,3033642541,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK- K 
P303,CEDARWOOD CHRISTIAN ACADEMY   ,11430 EAST 19TH AVENUE        ,AURORA              ,CO,80010 ,3033616456,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,K -12 
P159,CHRIST OUR REDEEMER LUTHERAN  ,17700 EAST ILIFF AVENUE       ,AURORA              ,CO,80013 ,3033373108,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-08 
P751,DENVER STREET SCHOOL          ,1585 KINGSTON STREET          ,AURORA              ,CO,80010 ,7209352154,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,09-12 
P472,LITTLE ANGELS DAY CARE INC    ,13963 EAST EXPOSITION AVE     ,AURORA              ,CO,80012 ,3033404566,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-PK 
P476,MEADOWOOD PRESCHOOL PROGRAM   ,3054 SOUTH LAREDO STREET      ,AURORA              ,CO,80013 ,3033268304,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-PK 
P478,ST MARKS PRESCHOOL            ,111 DEL MAR CIRCLE            ,AURORA              ,CO,80011 ,3033665089,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-PK 
P183,ST PIUS X SCHOOL              ,13680 EAST 14TH PLACE         ,AURORA              ,CO,80011 ,3033646515,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-08 
P186,ST THERESE SCHOOL             ,1200 KENTON STREET            ,AURORA              ,CO,80010 ,3033647494,0180,ADAMS-ARAPAHOE      28J       ,03,ARAPAHOE        ,PK-08 
P017,OUR SAVIOR LUTHERAN SCHOOL    ,56 MEADOWS DRIVE              ,PAGOSA SPRINGS      ,CO,81147 ,9707313512,0220,ARCHULETA COUNTY    50 JT     ,04,ARCHULETA       ,PK-04 
P358,ASPEN CENTER FOR CHILD DEV    ,501 5TH AVE                   ,LONGMONT            ,CO,80501 ,3037724320,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-PK 
P332,BRIGHT HORIZONS               ,919 DEERWOOD STREET           ,LONGMONT            ,CO,80504 ,3037721008,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-PK 
P353,CROSSROADS SCHOOL             ,1212 SOUTH TERRY STREET       ,LONGMONT            ,CO,80501 ,3037099881,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,06-12 
P223,DESIDERATA SCHOOL INC         ,15785 N 83RD STREET           ,LONGMONT            ,CO,80503 ,3036789335,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,K -12 
P195,FAITH BAPTIST SCHOOL          ,833 15TH AVENUE               ,LONGMONT            ,CO,80501 ,3037765677,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-12 
P198,GATEWAY MONTESSORI SCHOOL     ,1500 9TH AVENUE               ,LONGMONT            ,CO,80503 ,3037723864,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK- K 
P225,HOPEWELL BAPTIST ACADEMY      ,1146 KIMBARK STREET           ,LONGMONT            ,CO,80501 ,3036511325,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-12 
P149,KINDERCARE                    ,851 CHRISMAN DRIVE            ,LONGMONT            ,CO,80501 ,3036511008,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-05 
P068,LONGMONT CHRISTIAN SCHOOL     ,1440 COLLYER STREET           ,LONGMONT            ,CO,80501 ,3037763254,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-12 
P326,MESSIAH EARLY LEARNING CENTER ,1335 FRANCIS STREET           ,LONGMONT            ,CO,80501 ,3037763466,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-PK 
P261,MOUNTAIN PEAK PRIVATE SCHOOL  ,1833 SUNSET PLACE SUITES E & F,LONGMONT            ,CO,80501 ,7204941622,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-06 
P460,PRIMROSE SCHOOL OF LONGMONT   ,1335 DRY CREEK DRIVE          ,LONGMONT            ,CO,80503 ,3037741919,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-04 
P457,ROCKY MTN CHRISTIAN ACADEMY   ,9447 NIWOT ROAD               ,NIWOT               ,CO,80503 ,3036529162,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK -08
P040,SHEPHERD VALLEY WALDORF SCHOOL,6500 WEST DRY CREEK PARKWAY   ,NIWOT               ,CO,80503 ,3036520130,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,K -08 
P213,ST JOHN THE BAPTIST CATHOLIC  ,350 EMERY STREET              ,LONGMONT            ,CO,80501 ,3037768760,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-08 
P461,THE GODDARD SCHOOL            ,1095 OLYMPIA AVENUE           ,LONGMONT            ,CO,80504 ,3037723501,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK- K 
P062,THE LONGMONT COTTAGE          ,1941 TERRY STREET             ,LONGMONT            ,CO,80501 ,3034513780,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK- K 
P277,VISTA RIDGE ACADEMY           ,3100 RIDGE VIEW DRIVE         ,ERIE                ,CO,80516 ,3038284944,0470,ST VRAIN VALLEY     RE 1J     ,07,BOULDER         ,PK-12 
P103,ALEXANDER DAWSON SCHOOL       ,10455 DAWSON DRIVE            ,LAFAYETTE           ,CO,80026 ,3036656679,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,K -12 
P306,APPLETREE CHRISTIAN PRESCHOOL ,545 WEST 10TH AVENUE          ,BROOMFIELD          ,CO,80020 ,3034668365,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK- K 
P659,ASPEN GROVE COMMUNITY PRE-K   ,PO BOX 1743                   ,NEDERLAND           ,CO,80466 ,3032580390,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P216,BEAUTIFUL SAVIOR LUTHERAN SCH ,"6995 W 120TH AVE, P O BOX 8   ",BROOMFIELD          ,CO,80038 ,3034692049,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-05 
P219,BIXBY SCHOOL                  ,4760 TABLE MESA DRIVE         ,BOULDER             ,CO,80305 ,3034947508,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-05 
P121,BOULDER MONTESSORI SCHOOL     ,3300 REDSTONE ROAD            ,BOULDER             ,CO,80305 ,3034945814,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,K - K 
P094,BROOMFIELD ACADEMY            ,7203 WEST 120TH AVENUE        ,BROOMFIELD          ,CO,80020 ,3034696449,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-08 
P647,CATALYST HIGH SCHOOL          ,1376 MINERS DRIVE STE 106     ,LAFAYETTE           ,CO,80026 ,3036046512,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,09-12 
P806,CHILDREN'S CREATIVE LEARNING  ,3050 34TH STREET              ,BOULDER             ,CO,80301 ,3034435595,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P704,CHILDREN'S HOUSE PRESCHOOL    ,3370 IRIS WALK COURT          ,BOULDER             ,CO,80304 ,3034446432,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P563,FAIRVIEW MONTESSORI SCHOOL    ,1501 JEFFERSON AVENUE         ,LOUISVILLE          ,CO,80027 ,3032509447,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK- K 
P154,FRIENDS' SCHOOL               ,5465 PENNSYLVANIA AVENUE      ,BOULDER             ,CO,80303 ,3034991999,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-05 
P190,MAPLETON MONTESSORI SCHOOL    ,3121 29TH STREET              ,BOULDER             ,CO,80301 ,3034494499,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK- K 
P703,MISS CATHERINE'S CREATIVE LEAR,6525 GUNPARK DRIVE            ,BOULDER             ,CO,80301 ,3035301820,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P269,MOUNTAIN VIEW PRESCHOOL       ,355 PONCA PLACE               ,BOULDER             ,CO,80303 ,3034943557,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P368,NATIVITY OF OUR LORD CATHOLIC ,900 MIDWAY BLVD               ,BROOMFIELD          ,CO,80020 ,3034664177,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,K -08 
P242,PROMISE CHRISTIAN PRESCHOOL   ,9880 BASELINE ROAD            ,LAFAYETTE           ,CO,80026 ,3036669874,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P702,RAINBOW TREE PRESCHOOL        ,1305 WEST 10TH AVENUE         ,BROOMFIELD          ,CO,80020 ,3034698300,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P240,ST LOUIS CATHOLIC SCHOOL      ,925 GRANT AVENUE              ,LOUISVILLE          ,CO,80027 ,3036666220,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-08 
P609,UNITED CHURCH OF BROOMFIELD   ,825 KOHL STREET               ,BROOMFIELD          ,CO,80020 ,3034668355,0480,BOULDER VALLEY      RE 2      ,07,BOULDER         ,PK-PK 
P249,DARREN PATTERSON CHRISTIAN    ,518 SOUTH SAN JUAN AVE        ,BUENA VISTA         ,CO,81211 ,7193956046,0490,BUENA VISTA         R-31      ,08,CHAFFEE         ,PK-12 
P497,CHAFFEE CO MONTESSORI SCHOOL  ,PO BOX 696                    ,SALIDA              ,CO,81201 ,7195394887,0500,SALIDA              R-32      ,08,CHAFFEE         ,PK-06 
P397,KIDS CAMPUS                   ,315 EAST 6TH STREET           ,ORDWAY              ,CO,80163 ,7192673640,0770,CROWLEY COUNTY      RE-1-J    ,13,CROWLEY         ,PK-PK 
P273,DELTA SEVENTH DAY ADVENTIST   ,BOX 91                        ,DELTA               ,CO,81416 ,9708749482,0870,DELTA COUNTY        50(J)     ,15,DELTA           ,01-08 
P282,ACCELERATED SCHOOLS FOUND #1  ,2160 SOUTH COOK STREET        ,DENVER              ,CO,80210 ,3037582003,0880,DENVER COUNTY       1         ,16,DENVER          ,K -12 
P598,ANCHOR CENTER FOR BLIND CHILDR,2550 ROSLYN STREET            ,DENVER              ,CO,80238 ,3033779732,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-PK 
P291,ANNUNCIATION CATHOLIC SCHOOL  ,3536 LAFAYETTE STREET         ,DENVER              ,CO,80205 ,3032952515,0880,DENVER COUNTY       1         ,16,DENVER          , K-08 
P314,ARRUPE JESUIT HIGH SCHOOL     ,4343 UTICA STREET             ,DENVER              ,CO,80212 ,3034557449,0880,DENVER COUNTY       1         ,16,DENVER          ,09-12 
P362,AURARIA EARLY LEARNING CENTER ,950 9TH ST CAMPUS BOX N       ,DENVER              ,CO,80217 ,3035563188,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P294,BETH JACOB HIGH SCHOOL        ,5100 WEST 14TH AVENUE         ,DENVER              ,CO,80219 ,3038931333,0880,DENVER COUNTY       1         ,16,DENVER          ,09-12 
P315,CHILDREN'S GARDEN MONTESSORI  ,444 DETROIT STREET            ,DENVER              ,CO,80206 ,3033220972,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P321,CHRIST THE KING ROMAN CATHOLIC,860 ELM STREET                ,DENVER              ,CO,80220 ,3033212123,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P363,CRAYON ACADEMY                ,10 SHERIDAN BLVD              ,DENVER              ,CO,80226 ,3035710876,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-PK 
P333,DENVER ACADEMY                ,4400 EAST ILIFF AVENUE        ,DENVER              ,CO,80222 ,3037775870,0880,DENVER COUNTY       1         ,16,DENVER          ,01-12 
P364,FAMILY FLEX INC               ,1005 ACOMA ST                 ,DENVER              ,CO,80204 ,3035711005,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-PK 
P599,GARFIELD MONTESSORI SCHOOL    ,3617 MARTIN LUTHER KING BLVD  ,DENVER              ,CO,80205 ,3033888828,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P366,GOOD SHEPHERD CATHOLIC SCHOOL ,620 ELIZABETH STREET          ,DENVER              ,CO,80220 ,3033216231,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P372,GRALAND COUNTRY DAY SCHOOL    ,55 CLERMONT STREET            ,DENVER              ,CO,80220 ,3033990390,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P378,HILLEL ACADEMY OF DENVER      ,450 SOUTH HUDSON STREET       ,DENVER              ,CO,80246 ,3033331511,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P390,ILIFF PRESCHOOL INC           ,4140 EAST ILIFF AVENUE        ,DENVER              ,CO,80222 ,3037573551,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P251,INNER-CITY SCHOOL             ,3560 JOSEPHINE ST             ,DENVER              ,CO,80205 ,3033164533,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-06 
P483,INTERNATIONAL SCHOOL OF DENVER,206 RED CROSS WAY             ,DENVER              ,CO,80230 ,3033403647,0880,DENVER COUNTY       1         ,16,DENVER          ,PK -08
P393,JEWISH COMMUNITY CENTER       ,350 SOUTH DAHLIA STREET       ,DENVER              ,CO,80246 ,3033166307,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-PK 
P429,MOST PRECIOUS BLOOD CATHOLIC  ,3959 EAST ILIFF AVENUE        ,DENVER              ,CO,80210 ,3037571279,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P438,MULLEN HIGH SCHOOL            ,3601 SOUTH LOWELL BOULEVARD   ,DENVER              ,CO,80236 ,3037611764,0880,DENVER COUNTY       1         ,16,DENVER          ,09-12 
P441,NOTRE DAME CATHOLIC SCHOOL    ,2165 SOUTH ZENOBIA STREET     ,DENVER              ,CO,80219 ,3039353549,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P623,PARZIVAL SHIELD PRESCHOOL/KIND,2180 SOUTH MADISON STREET     ,DENVER              ,CO,80210 ,3037575102,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P125,RICKS CTR FOR GIFTED CHILDREN ,2040 S YORK ST                ,DENVER              ,CO,80208 ,3038712982,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P474,ST CATHERINE OF SIENA SCHOOL  ,4200 FEDERAL BOULEVARD        ,DENVER              ,CO,80211 ,3034778035,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P370,ST ELIZABETH'S SCHOOL         ,2350 GAYLORD STREET           ,DENVER              ,CO,80205 ,3033224209,0880,DENVER COUNTY       1         ,16,DENVER          , K-06 
P477,ST FRANCIS DE SALES           ,235 SOUTH SHERMAN STREET      ,DENVER              ,CO,80209 ,3037447231,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P495,ST ROSE OF LIMA CATHOLIC ACAD ,1345 WEST DAKOTA AVENUE       ,DENVER              ,CO,80223 ,3037335806,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P498,ST VINCENT DE PAUL SCHOOL     ,1164 SOUTH JOSEPHINE STREET   ,DENVER              ,CO,80210 ,3037773812,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-08 
P501,STANLEY BRITISH PRIMARY SCHOOL,350 QUEBEC STREET             ,DENVER              ,CO,80230 ,3033600803,0880,DENVER COUNTY       1         ,16,DENVER          ,K -08 
P351,THE DENVER WALDORF SCHOOL     ,940 FILLMORE STREET           ,DENVER              ,CO,80206-,3037770531,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-12 
P226,THE LOGAN SCHOOL FOR CREATIVE ,1005 YOSEMITE STREET          ,DENVER              ,CO,80209 ,3033402444,0880,DENVER COUNTY       1         ,16,DENVER          ,K -08 
P758,THE RISE SCHOOL OF DENVER     ,4901 EAST EASTMAN AVE         ,DENVER              ,CO,80222 ,3037567473,0880,DENVER COUNTY       1         ,16,DENVER          ,PK-PK 
P566,TRINITY LUTHERAN ECLC         ,4225 WEST YALE AVENUE         ,DENVER              ,CO,80219 ,3033597633,0880,DENVER COUNTY       1         ,16,DENVER          ,PK- K 
P027,AVE MARIA CATHOLIC SCHOOL     ,9056 EAST PARKER ROAD         ,PARKER              ,CO,80138 ,7208425400,0900,DOUGLAS COUNTY      RE 1      ,18,DOUGLAS         ,PK-08 
P099,CHERRY HILLS CHRISTIAN        ,3900 EAST GRACE BOULEVARD     ,HIGHLANDS RANCH     ,CO,80126 ,3033258175,0900,DOUGLAS COUNTY      RE 1      ,18,DOUGLAS         ,PK -08
P130,MONTESSORI SCHOOL AT LONE TREE,9396 ERMINDALE DRIVE          ,LITTLETON           ,CO,80124 ,3037998540,0900,DOUGLAS COUNTY      RE 1      ,18,DOUGLAS         ,PK- K 
P162,SOUTHEAST CHRISTIAN SCHOOL    ,9650 SOUTH JORDAN ROAD        ,PARKER              ,CO,80134 ,3038415988,0900,DOUGLAS COUNTY      RE 1      ,18,DOUGLAS         ,PK-08 
P543,TRINITY LUTHERAN SCHOOL       ,4740 NORTH STATE HIGHWAY 83   ,FRANKTOWN           ,CO,80116 ,3038414660,0900,DOUGLAS COUNTY      RE 1      ,18,DOUGLAS         ,PK-08 
